ID	linuxid
CPB0008	CPB0008
CPB0009	CPB0009
CPB0010	CPB0010
CPB0011	CPB0011
CPB0012	CPB0012
CPB0013	CPB0013
CPB0014	CPB0014
CPB0020	CPB0020
CPB0023	CPB0023
CPB0113	CPB0113
CPB0119	CPB0119
CPB0121	CPB0121
CPB0122	CPB0122
CPB0125	CPB0125
CPB0127	CPB0127
CPB0135	CPB0135
CPB0136	CPB0136
CPB0156	PH-KP6017
CPB0159	PH-KP7338
CPB0170	PHKP9429_B1
CPB0171	PHKP9429_C1
CPB0173	PHKP9434_B1
CPB0174	PHKP9495-AB1
CPB0183	PHKP9947-B1
CPB0185	PH-KP5066
CPB0189	PH-KP7654
CPB0192	PHKP9088-A
CPB0203	PHKP9471-A1
CPB0207	PH-KP9595-A1
CPB0212	PH-KP5431
CPB0215	PH-KP9064-1
CPB0217	PHKP9275_B1
CPB0221	PH-KP9850-B1
CPB0239	PH-KP5048
CPB0243	PH-KP5130-A
CPB0244	PH-KP5137
CPB0245	PH-KP5150
CPB0247	PH-KP5295
CPB0249	PH-KP5556
CPB0259	PH-KP7168
CPB0260	PH-KP7215-A
CPB0261	PH-KP7215-B
CPB0266	PH-KP7569
CPB0290	PH-KP9384_A1
CPB0296	PH-KP9628-B1
CPB0303	PHAB8884-B
CPB0306	PHAB1054-B
CPB0307	PHAB-1054-S
CPB0310	PHAB8991
CPB0311	PHAB1050
CPB0312	PHAB-1052
CPB0313	PHAB-1053
CPB0315	PHAB-333
CPB0319	PHAB9032-M
CPB0323	PHAB9423
CPB0324	PH-AB9400
CPB0325	PHAB9032-S1
CPB0328	PHAB-9032-B
CPB0329	PHKP4049
CPB0332	CPB0332
CPB0333	CPB0333
CPB0334	CPB0334
CPB0335	CPB0335
CPB0338	CPB0338
CPB0339	CPB0339
CPB0340	CPB0340
CPB0342	CPB0342
CPB0343	CPB343
CPB0346	CPB0346
CPB0349	CPB0349
CPB0376	CPB376
CPB0388	CPB388
CPB0389	CPB389
CPB0400	CPB400
CPB0401	CPB401
CPB0402	CPB402
CPB0403	CPB403
CPB0404	CPB404
CPB0405	CPB405
CPB0406	CPB406
CPB0407	CPB407
CPB0737	CPB0737
CPB0738	CPB0738
CPB0739	CPB0739
CPB0740	CPB0740
CPB0741	CPB0741
CPB0743	CPB0743
CPB0745	CPB0745
CPB0746	CPB0746
CPB0747	CPB0747
CPB0748	CPB0748
CPB0751	CPB0751
CPB0752	CPB0752
CPB0755	CPB0755
CPB0756	CPB0756
CPB0757	CPB0757
CPB0758	CPB0758
CPB0759	CPB0759
CPB0760	CPB0760
CPB0761	CPB0761
CPB0762	CPB0762
CPB0767	CPB0767
CPB0768	CPB0768
CPB0769	CPB0769
CPB0770	CPB0770
CPB0771	CPB0771
CPB0773	CPB0773
CPB0775	CPB0775
CPB0776	CPB0776
CPB0777	CPB0777
CPB0778	CPB0778
CPB0780	CPB0780
CPB0781	CPB0781
CPB0782	CPB0782
CPB0783	CPB0783
CPB0784	CPB0784
CPB0787	CPB0787
CPB0788	CPB0788
CPB0789	CPB0789
CPB0790	CPB0790
CPB0791	CPB0791
CPB0793	CPB0793
