COG	func	name	level_1	level_2
COG0430	A	RNA 3'-terminal phosphate cyclase	INFORMATION STORAGE AND PROCESSING	RNA processing and modification
COG5239	A	mRNA deadenylase, 3'-5' endonuclease subunit Ccr4	INFORMATION STORAGE AND PROCESSING	RNA processing and modification
COG5186	A	Poly(A) polymerase Pap1	INFORMATION STORAGE AND PROCESSING	RNA processing and modification
COG5180	A	PAB1-binding protein PBP1, interacts with poly(A)-binding protein	INFORMATION STORAGE AND PROCESSING	RNA processing and modification
COG4085	A	DNA/RNA endonuclease YhcR, contains UshA esterase domain	INFORMATION STORAGE AND PROCESSING	RNA processing and modification
COG1949	A	Oligoribonuclease (3'-5' exoribonuclease)	INFORMATION STORAGE AND PROCESSING	RNA processing and modification
COG5602	B	Histone deacetylase complex, regulatory component SIN3	INFORMATION STORAGE AND PROCESSING	Chromatin structure and dynamics 
COG2036	B	Archaeal histone H3/H4	INFORMATION STORAGE AND PROCESSING	Chromatin structure and dynamics 
COG5531	B	Chromatin remodeling complex protein RSC6, contains SWIB domain	INFORMATION STORAGE AND PROCESSING	Chromatin structure and dynamics 
COG0123	BQ	Acetoin utilization deacetylase AcuC or a related deacetylase	NA	NA
COG1556	C	L-lactate utilization protein LutC, contains LUD domain	METABOLISM	Energy production and conversion
COG0243	C	Anaerobic selenocysteine-containing dehydrogenase	METABOLISM	Energy production and conversion
COG1144	C	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, delta subunit	METABOLISM	Energy production and conversion
COG0377	C	NADH:ubiquinone oxidoreductase 20 kD subunit (chhain B) or related Fe-S oxidoreductase	METABOLISM	Energy production and conversion
COG0224	C	FoF1-type ATP synthase, gamma subunit	METABOLISM	Energy production and conversion
COG1880	C	CO dehydrogenase/acetyl-CoA synthase epsilon subunit	METABOLISM	Energy production and conversion
COG0674	C	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit	METABOLISM	Energy production and conversion
COG1148	C	Heterodisulfide reductase, subunit A (polyferredoxin)	METABOLISM	Energy production and conversion
COG0546	C	Phosphoglycolate phosphatase, HAD superfamily	METABOLISM	Energy production and conversion
COG0716	C	Flavodoxin	METABOLISM	Energy production and conversion
COG0713	C	NADH:ubiquinone oxidoreductase subunit 11 or 4L (chain K)	METABOLISM	Energy production and conversion
COG0426	C	Flavorubredoxin	METABOLISM	Energy production and conversion
COG2209	C	Na+-transporting NADH:ubiquinone oxidoreductase, subunit NqrE	METABOLISM	Energy production and conversion
COG1229	C	Formylmethanofuran dehydrogenase subunit A	METABOLISM	Energy production and conversion
COG1053	C	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit	METABOLISM	Energy production and conversion
COG0711	C	FoF1-type ATP synthase, membrane subunit b or b'	METABOLISM	Energy production and conversion
COG2811	C	Archaeal/vacuolar-type H+-ATPase subunit H	METABOLISM	Energy production and conversion
COG1908	C	Coenzyme F420-reducing hydrogenase, delta subunit	METABOLISM	Energy production and conversion
COG1454	C	Alcohol dehydrogenase, class IV	METABOLISM	Energy production and conversion
COG0838	C	NADH:ubiquinone oxidoreductase subunit 3 (chain A)	METABOLISM	Energy production and conversion
