go_id	category	go_term
GO:0000001	Process	mitochondrion inheritance
GO:0000002	Process	mitochondrial genome maintenance
GO:0000003	Process	reproduction
GO:0000006	Function	high-affinity zinc transmembrane transporter activity
GO:0000007	Function	low-affinity zinc ion transmembrane transporter activity
GO:0000009	Function	alpha-1,6-mannosyltransferase activity
GO:0000010	Function	trans-hexaprenyltranstransferase activity
GO:0000011	Process	vacuole inheritance
GO:0000012	Process	single strand break repair
GO:0000014	Function	single-stranded DNA endodeoxyribonuclease activity
GO:0000015	Component	phosphopyruvate hydratase complex
GO:0000016	Function	lactase activity
GO:0000017	Process	alpha-glucoside transport
GO:0000018	Process	regulation of DNA recombination
GO:0000019	Process	regulation of mitotic recombination
GO:0000022	Process	mitotic spindle elongation
GO:0000023	Process	maltose metabolic process
GO:0000024	Process	maltose biosynthetic process
GO:0000025	Process	maltose catabolic process
GO:0000026	Function	alpha-1,2-mannosyltransferase activity
GO:0000027	Process	ribosomal large subunit assembly
GO:0000028	Process	ribosomal small subunit assembly
GO:0000030	Function	mannosyltransferase activity
GO:0000031	Function	mannosylphosphate transferase activity
GO:0000032	Process	cell wall mannoprotein biosynthetic process
GO:0000033	Function	alpha-1,3-mannosyltransferase activity
GO:0000034	Function	adenine deaminase activity
GO:0000035	Function	acyl binding
GO:0000036	Function	acyl carrier activity
GO:0000038	Process	very long-chain fatty acid metabolic process
GO:0000041	Process	transition metal ion transport
GO:0000045	Process	autophagosome assembly
GO:0000048	Function	peptidyltransferase activity
GO:0000049	Function	tRNA binding
GO:0000050	Process	urea cycle
GO:0000052	Process	citrulline metabolic process
GO:0000053	Process	argininosuccinate metabolic process
GO:0000054	Process	ribosomal subunit export from nucleus
GO:0000055	Process	ribosomal large subunit export from nucleus
GO:0000056	Process	ribosomal small subunit export from nucleus
GO:0000062	Function	fatty-acyl-CoA binding
GO:0000064	Function	L-ornithine transmembrane transporter activity
GO:0000070	Process	mitotic sister chromatid segregation
GO:0000073	Process	mitotic spindle pole body separation
GO:0000075	Process	cell cycle checkpoint
GO:0000076	Process	DNA replication checkpoint
GO:0000077	Process	DNA damage checkpoint
GO:0000079	Process	regulation of cyclin-dependent protein serine/threonine kinase activity
GO:0000080	Process	mitotic G1 phase
GO:0000082	Process	G1/S transition of mitotic cell cycle
GO:0000083	Process	regulation of transcription involved in G1/S transition of mitotic cell cycle
GO:0000084	Process	mitotic S phase
GO:0000085	Process	mitotic G2 phase
GO:0000086	Process	G2/M transition of mitotic cell cycle
GO:0000088	Process	mitotic prophase
GO:0000089	Process	mitotic metaphase
GO:0000095	Function	S-adenosyl-L-methionine transmembrane transporter activity
GO:0000096	Process	sulfur amino acid metabolic process
GO:0000097	Process	sulfur amino acid biosynthetic process
GO:0000098	Process	sulfur amino acid catabolic process
GO:0000099	Function	sulfur amino acid transmembrane transporter activity
