KP_lab_id	KP_NCBI_id	blastn_length	KP_lab_length	KP_NCBI_length	covrage(%)
CPB0189	MF663761.1	89162	93742	47760	126.02224703537759
CPB0189	NC_042041.1	89162	93742	47760	126.02224703537759
CPB0189	MK521906.1	81765	93742	49370	114.2671474090223
CPB0189	MT894004.1	71950	93742	47129	102.15019414925712
CPB0247	MG197810.1	48321	47663	47797	101.2382149591452
CPB0831	ON146449.1	43506	43237	43644	100.15078095325791
CPB0832	ON146449.1	43504	43236	43644	100.14732965009208
CPB0834	MZ322895.1	174943	175078	174826	99.99485573185788
CPB0300	OM971648.1	186975	176394	198584	99.72585058323422
CPB0889	OM971648.1	185673	174593	198584	99.50934811095003
CPB0297	MN013075.1	52666	51532	54438	99.39794281400395
CPB0297	NC_049835.1	52666	51532	54438	99.39794281400395
CPB0657	AB897757.1	345286	349981	346602	99.13707339972409
CPB0657	NC_027399.1	345286	349981	346602	99.13707339972409
CPB0905	OM687892.1	48029	48473	48519	99.0370339821841
CPB0905	KT367887.1	47953	48473	48493	98.90683332302044
CPB0177	MW655991.1	48532	48921	49276	98.84619693065979
CPB0177	NC_055956.1	48532	48921	49276	98.84619693065979
CPB0232	KT001918.1	174019	176182	176081	98.80061204270673
CPB0232	NC_028750.1	174019	176182	176081	98.80061204270673
CPB0232	OM971648.1	185108	176182	198584	98.7859090739288
CPB0834	MT157285.1	171378	175078	172138	98.71549698170591
CPB0248	KT239446.1	164792	167799	166226	98.67045879799417
CPB0248	NC_028686.1	164792	167799	166226	98.67045879799417
CPB0292	MW448170.1	173923	176279	176329	98.64949178691352
CPB0180	ON515458.1	173745	177013	175595	98.54852981214266
CPB0180	OM971648.1	185046	177013	198584	98.53433334132062
CPB0177	OM938992.1	48221	48921	48957	98.53286744723022
CPB0834	MW448170.1	173058	175078	176329	98.49433847362175
CPB0254	OL870319.1	164089	167475	165805	98.46915506481037
CPB0292	OK631813.1	171356	176279	171960	98.41287161977837
CPB0232	ON515458.1	173040	176182	175595	98.3805081059876
CPB0254	KT239446.1	164116	167475	166226	98.36110769820887
CPB0254	NC_028686.1	164116	167475	166226	98.36110769820887
CPB0244	MH172261.1	39909	40590	40635	98.26777469990766
CPB0244	NC_047968.1	39909	40590	40635	98.26777469990766
CPB0834	OM971648.1	183523	175078	198584	98.22941588922609
CPB0292	MZ322895.1	172434	176279	174826	98.22360832229676
CPB0248	MW021752.1	164214	167799	166829	98.14719628961114
CPB0248	OL870319.1	163699	167799	165805	98.13971055502931
CPB0834	OK631813.1	170238	175078	171960	98.10914078573528
