locus_tag	ftype	length_bp	gene	EC_number	COG	product
KBOACNCO_00001	CDS	738	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
KBOACNCO_00002	CDS	693	rluE	5.4.99.20	COG1187	Ribosomal large subunit pseudouridine synthase E
KBOACNCO_00003	CDS	522				hypothetical protein
KBOACNCO_00004	CDS	702				Ycf53-like protein
KBOACNCO_00005	CDS	1077				hypothetical protein
KBOACNCO_00006	CDS	939	fcl_1	1.1.1.271	COG0451	GDP-L-fucose synthase
KBOACNCO_00007	CDS	1089	gmd_1	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
KBOACNCO_00008	CDS	1083	psbA2_1	1.10.3.9		Photosystem II protein D1 2
KBOACNCO_00009	CDS	150				hypothetical protein
KBOACNCO_00010	CDS	1980	speA_1	4.1.1.19		Biosynthetic arginine decarboxylase
KBOACNCO_00011	CDS	2010	ligA_1	6.5.1.2		DNA ligase
KBOACNCO_00012	CDS	582				hypothetical protein
KBOACNCO_00013	CDS	1011	yfiZ		COG0609	putative siderophore transport system permease protein YfiZ
KBOACNCO_00014	CDS	1050	yfhA		COG0609	putative siderophore transport system permease protein YfhA
KBOACNCO_00015	CDS	807	yusV		COG1120	putative siderophore transport system ATP-binding protein YusV
KBOACNCO_00016	CDS	948	yfiY_1		COG0614	putative siderophore-binding lipoprotein YfiY
KBOACNCO_00017	CDS	2541	iutA			Ferric aerobactin receptor
KBOACNCO_00018	CDS	981	rhaR_1			HTH-type transcriptional activator RhaR
KBOACNCO_00019	CDS	1284				hypothetical protein
KBOACNCO_00020	CDS	966				hypothetical protein
KBOACNCO_00021	CDS	1008	yhfQ		COG4594	Putative ABC transporter substrate-binding lipoprotein YhfQ
KBOACNCO_00022	CDS	2574	cntO_1		COG1629	Metal-pseudopaline receptor CntO
KBOACNCO_00023	CDS	1041	rhaR_2			HTH-type transcriptional activator RhaR
KBOACNCO_00024	CDS	798	COQ5_1	2.1.1.163		2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial
KBOACNCO_00025	CDS	2487	cntO_2		COG1629	Metal-pseudopaline receptor CntO
KBOACNCO_00026	CDS	405	tolR_1			Tol-Pal system protein TolR
KBOACNCO_00027	CDS	633	tolQ_1		COG0811	Tol-Pal system protein TolQ
KBOACNCO_00028	CDS	1599				hypothetical protein
KBOACNCO_00029	CDS	1050				hypothetical protein
KBOACNCO_00030	CDS	1818	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
KBOACNCO_00031	CDS	957	rhaR_3			HTH-type transcriptional activator RhaR
KBOACNCO_00032	CDS	2547	cntO_3		COG1629	Metal-pseudopaline receptor CntO
KBOACNCO_00033	CDS	993	yfiY_2		COG0614	putative siderophore-binding lipoprotein YfiY
KBOACNCO_00034	CDS	936	yfiY_3		COG0614	putative siderophore-binding lipoprotein YfiY
KBOACNCO_00035	CDS	375				hypothetical protein
KBOACNCO_00036	CDS	1842	yheI_1	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
KBOACNCO_00037	CDS	936				hypothetical protein
KBOACNCO_00038	CDS	342				hypothetical protein
KBOACNCO_00039	CDS	231				hypothetical protein
KBOACNCO_00040	CDS	1200				hypothetical protein
KBOACNCO_00041	CDS	339				Photosystem II reaction center Psb28 protein
KBOACNCO_00042	CDS	1650	dinG	3.1.-.-		3'-5' exonuclease DinG
KBOACNCO_00043	CDS	318				hypothetical protein
KBOACNCO_00044	CDS	849				IS630 family transposase ISTcSa
KBOACNCO_00045	CDS	645				hypothetical protein
KBOACNCO_00046	CDS	1125	hypD		COG0409	Hydrogenase maturation factor HypD
KBOACNCO_00047	CDS	882	rfbD	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
KBOACNCO_00048	CDS	669	msrA_1	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
